,Song Name,Mean Streams,Total Streams,Stream Count,Mean Duration,Total Duration,First Quarter,Last Quarter
451,2005,74398.67889908257,8109456,109,208859.0,22765631,2021Q4,2021Q4
452,2009,1424680.3333333333,17096164,12,347986.0,4175832,2018Q3,2018Q3
453,2010 Freestyle,29481.0,117924,4,220679.0,882716,2021Q4,2021Q4
454,2011,345185.77419354836,10700759,31,226849.70967741936,7032341,2021Q4,2021Q4
455,2012,615748.86875,98519819,160,170107.99375,27217279,2020Q4,2017Q4
456,2014,232274.0,1858192,8,197443.5,1579548,2016Q4,2020Q4
457,2016,3614.0,43368,12,223200.0,2678400,2016Q3,2016Q3
458,2017,184411.6811594203,12724406,69,221979.5072463768,15316586,2019Q4,2017Q4
459,2018,308557.0,2468456,8,165714.0,1325712,2020Q4,2020Q4
460,2018 (Gratulation),438911.0,1755644,4,212280.0,849120,2018Q3,2018Q3
461,2020,113852.02857142857,11954463,105,193331.06666666668,20299762,2020Q4,2020Q3
462,2020 (feat. ClubDub & Valdimar Guðmundsson),8495.214285714286,356799,42,173293.0,7278306,2018Q4,2020Q1
463,2020 (feat. Slow J),34143.0625,1638867,48,203812.0,9782976,2020Q4,2020Q3
464,2021,46260.875,740174,16,195952.0,3135232,2021Q1,2021Q1
465,203 Stjórinn,7590.48,569286,75,227797.0,17084775,2016Q4,2016Q4
466,2030,9875.5,79004,8,271418.0,2171344,2020Q4,2020Q4
467,2031,71096.8,1421936,20,299546.0,5990920,2018Q3,2018Q4
468,20539,256839.0,770517,3,155238.0,465714,2017Q4,2017Q4
469,2055,561073.897102897,1123269942,2002,123986.0,248219972,2021Q3,2021Q4
470,2080-luvulla,45389.93421052631,3449635,76,257573.0,19575548,2015Q4,2016Q4
471,2080-luvulla (Vain elämää kausi 4),104975.31578947368,3989062,38,222506.0,8455228,2015Q4,2016Q1
472,2084,42235.455813953486,9080623,215,316991.0,68153065,2019Q3,2020Q3
473,20B13,45266.25,362130,8,166714.0,1333712,2021Q1,2021Q1
474,20GB,31667.0,95001,3,177411.0,532233,2021Q3,2021Q3
475,20K,13525.0,40575,3,211190.0,633570,2019Q4,2019Q4
476,20cm,55220.0,220880,4,216933.0,867732,2019Q4,2019Q4
477,20ogeitthvað,2286.714285714286,112049,49,233560.0,11444440,2015Q3,2016Q1
478,20ogeitthvað (aðdragandi),1618.5,9711,6,51253.0,307518,2015Q3,2015Q3
479,20К,104226.0,1250712,12,133173.0,1598076,2021Q4,2021Q4
480,21,549272.9846827134,251017754,457,168209.43107221008,76871710,2018Q4,2020Q3
481,21 (Prod. by Sqweezey x Renzy),60902.5,487220,8,90995.0,727960,2020Q4,2020Q4
482,21 Gramm,472137.4,11803435,25,189690.6,4742265,2021Q4,2020Q4
483,21 Gun Salute (feat. Young Adz),558008.0,2232032,4,211213.0,844852,2020Q4,2020Q4
484,21 M◊◊N WATER,79438.33333333333,953260,12,188000.0,2256000,2016Q4,2016Q4
485,21 grammi,225625.60714285713,12635034,56,222000.0,12432000,2015Q4,2016Q1
486,21 oktober,255436.0,1021744,4,167513.0,670052,2021Q4,2021Q4
487,210,25410.75,406572,16,184225.0,2947600,2021Q3,2021Q4
488,210 Part 2,43644.0,130932,3,193135.0,579405,2021Q4,2021Q4
489,211,28824.75,461196,16,264105.0,4225680,2020Q4,2020Q4
490,214,242098.18897637795,30746470,127,273200.0,34696400,2019Q3,2020Q3
491,"214 - From ""Alone/Together""",188927.72,4723193,25,254024.0,6350600,2019Q3,2019Q4
492,21g (feat. Strapo),14366.0,71830,5,184174.0,920870,2017Q4,2017Q4
493,21st Century Girl,25576.18181818182,1125352,44,192601.0,8474444,2016Q4,2016Q4
494,22,182731.53107344633,64686962,354,159922.61581920905,56612606,2015Q4,2020Q3
495,22 (OVER S∞∞N),225132.57142857142,6303712,28,168000.0,4704000,2016Q4,2016Q4
496,22 (Taylor's Version),1166442.0163934426,142305926,122,230960.0,28177120,2021Q4,2021Q4
497,22 Indeni,70322.0,210966,3,181786.0,545358,2019Q4,2019Q4
498,22 dní,37059.2,741184,20,222640.0,4452800,2021Q4,2021Q4
499,22 settembre,706907.119047619,59380198,84,230693.0,19378212,2021Q3,2020Q3
500,223's (feat. 9lokknine),805367.1078582434,1045366506,1298,176640.0,229278720,2019Q3,2020Q1
501,22:40,11292.05,225841,20,256800.0,5136000,2018Q4,2018Q4
502,23,79321.62592592592,21416839,270,222546.16296296296,60087464,2021Q3,2017Q4
503,23 (With Ape Drums),225310.1672077922,138791063,616,167504.0,103182464,2021Q4,2021Q4
504,23 Preguntas,158506.11678832117,43430676,274,251221.0,68834554,2021Q3,2021Q4
505,23 coltellate,327397.3333333333,7857536,24,155121.0,3722904,2019Q3,2019Q4
506,23 de Junio,194415.5,1166493,6,207480.0,1244880,2017Q4,2017Q4
507,23 de Maio,49092.25,981845,20,272188.0,5443760,2018Q4,2018Q4
508,23. Desember,96122.6875,1537963,16,213420.0,3414720,2015Q4,2021Q4
509,230 (feat. PLK),276095.5,2208764,8,146053.0,1168424,2020Q4,2020Q4
510,2310,12323.2,184848,15,190994.0,2864910,2019Q4,2020Q3
511,24,556178.2010869565,102336789,184,199481.8152173913,36704654,2021Q3,2020Q3
512,24 (feat. Lil Baby),885152.1529411764,300951732,340,182857.0,62171380,2020Q4,2020Q3
513,24 Hours,8093.0,32372,4,179983.0,719932,2019Q3,2019Q3
514,24 Karat,270565.5,4329048,16,219520.0,3512320,2016Q4,2016Q4
515,24 Stunden,432435.2549019608,22054198,51,174082.0,8878182,2020Q4,2020Q3
516,24 carats,407795.05633802817,28953449,71,211760.0,15034960,2018Q4,2018Q4
517,24 horas por dia,139907.0,559628,4,192961.0,771844,2016Q1,2016Q1
518,24 на 7,61311.07692307692,797044,13,189257.0,2460341,2021Q3,2021Q4
519,24-25,130570.33333333333,391711,3,236173.0,708519,2020Q1,2020Q1
520,24/5,307312.3628318584,34726297,113,158220.0,17878860,2021Q3,2021Q4
521,24/7,209376.70707070708,62184882,297,177552.89225589225,52733209,2018Q4,2016Q4
522,24/7 (feat. Ella Mai),1048739.0,15731085,15,221522.0,3322830,2018Q4,2018Q4
523,24/7 Remix,212422.72727272726,2336650,11,157000.0,1727000,2019Q4,2019Q4
524,2400,35226.0,70452,2,291509.0,583018,2016Q1,2016Q1
525,247,92467.72857142857,6472741,70,198500.0,13895000,2021Q3,2021Q4
526,247365,32106.153846153848,417380,13,166413.0,2163369,2015Q3,2015Q4
527,24H,277671.7272727273,9163167,33,171083.18181818182,5645745,2019Q4,2020Q3
528,24K,149995.625,9599720,64,177485.75,11359088,2016Q4,2016Q4
529,24K Magic,483754.79328575206,1830044383,3783,225983.0,854893689,2018Q4,2016Q4
530,25 décembre,123203.14285714286,3449688,28,264853.0,7415884,2016Q4,2016Q4
531,25 million,892796.6666666666,8035170,9,204626.0,1841634,2021Q4,2021Q4
532,25 ore RMX (feat. Ernia & Shablo),323377.0,3880524,12,183724.0,2204688,2020Q4,2020Q4
533,25 timer,126106.34545454546,6935849,55,183296.0,10081280,2018Q4,2018Q4
534,25 недель,173233.0,519699,3,180800.0,542400,2021Q4,2021Q4
535,25/8,14676.777108433735,2436345,166,243275.0,40383650,2021Q3,2020Q3
536,250,336507.75,5384124,16,166729.0,2667664,2018Q3,2018Q4
537,250X,15605.75,124846,8,137293.0,1098344,2021Q1,2021Q1
538,27,35328.47747747748,3921461,111,149552.2972972973,16600305,2021Q3,2020Q3
539,27 !!,31355.5,125422,4,210000.0,840000,2021Q1,2021Q1
540,27 Club,10256.08695652174,235890,23,157258.0,3616934,2019Q4,2020Q1
541,27KLUB,16235.0,64940,4,172245.0,688980,2020Q4,2020Q4
542,28 Liter,495242.0,1485726,3,173226.0,519678,2020Q3,2020Q3
543,282,28986.382352941175,985537,34,168000.0,5712000,2021Q3,2021Q4
544,29 #Strafford APTS,138503.33333333334,6648160,48,245200.0,11769600,2016Q4,2016Q4
545,295,429299.6666666667,12878990,30,270000.0,8100000,2021Q3,2021Q4
546,2992,166441.5,665766,4,281533.0,1126132,2021Q1,2021Q1
547,2:00,363566.5303030303,23995391,66,199555.0,13170630,2021Q3,2021Q4
548,2:43 am,395646.0,1978230,5,188733.0,943665,2021Q4,2021Q4
549,2:50,279620.984375,35791486,128,185142.0,23698176,2020Q4,2021Q1
550,2:50 Remix,299108.40206185565,116054060,388,231708.0,89902704,2021Q3,2021Q4
551,2AM,98743.75,394975,4,215422.0,861688,2015Q1,2015Q1
552,2AM - Matoma Remix,73914.69811320755,3917479,53,235945.0,12505085,2015Q4,2016Q1
553,2CB,592785.4343891402,131005581,221,172288.0,38075648,2021Q3,2021Q4
554,2D Tüdrukud,4772.695652173913,219544,46,181365.0,8342790,2019Q3,2019Q4
555,"2K30 (prod. Hatti Vatti, cuty: DJ Panda)",166896.0,1335168,8,246946.0,1975568,2019Q4,2019Q4
556,2U (feat. Justin Bieber),266734.5825,853550664,3200,194896.0,623667200,2018Q4,2017Q4
557,2VS2,189308.12765957447,8897482,47,147000.0,6909000,2021Q4,2020Q4
558,2gether,4009.0,16036,4,176538.0,706152,2019Q4,2019Q4
559,2infinity And Beyond,11307.0,67842,6,247101.0,1482606,2016Q3,2016Q3
560,2k17,638711.4146341464,26187168,41,206250.0,8456250,2021Q3,2021Q4
561,"2kõik (feat. Arop, Genka, Beebilõust, Reket, Metsakutsu & Paul Oja)",2370.5882352941176,40300,17,314666.0,5349322,2016Q3,2016Q4
562,2ollipop,1031673.8709677419,31981890,31,149305.0,4628455,2019Q4,2020Q1
563,2sad2disco,588646.9,35318814,60,202219.0,12133140,2021Q3,2021Q4
