year,0,2,3,4,5
2016,Week 1,Sep 11,W,29-10,vs Cleveland Browns
2016,Week 2,Sep 19,W,29-14,at Chicago Bears
2016,Week 3,Sep 25,W,34-3,vs Pittsburgh Steelers
2016,Week 4,Bye Week,Bye Week,Bye Week,
2016,Week 5,Oct 9,L,24-23,at Detroit Lions
2016,Week 6,Oct 16,L,27-20,at Washington Redskins
2016,Week 7,Oct 23,W,21-10,vs Minnesota Vikings
2016,Week 8,Oct 30,L,29-23,at Dallas Cowboys (OT)
2016,Week 9,Nov 6,L,28-23,at New York Giants
2016,Week 10,Nov 13,W,24-15,vs Atlanta Falcons
2016,Week 11,Nov 20,L,26-15,at Seattle Seahawks
2016,Week 12,Nov 28,L,27-13,vs Green Bay Packers
2016,Week 13,Dec 4,L,32-14,at Cincinnati Bengals
2016,Week 14,Dec 11,L,27-22,vs Washington Redskins
2016,Week 15,Dec 18,L,27-26,at Baltimore Ravens
2016,Week 16,Dec 22,W,24-19,vs New York Giants
2016,Week 17,Jan 1,W,27-13,vs Dallas Cowboys
