year,0,2,3,4,5
2015,Week 1,Sep 14,L,26-24,at Atlanta Falcons
2015,Week 2,Sep 20,L,20-10,vs Dallas Cowboys
2015,Week 3,Sep 27,W,24-17,at New York Jets
2015,Week 4,Oct 4,L,23-20,at Washington Redskins
2015,Week 5,Oct 11,W,39-17,vs New Orleans Saints
2015,Week 6,Oct 19,W,27-7,vs New York Giants
2015,Week 7,Oct 25,L,27-16,at Carolina Panthers
2015,Week 8,Bye Week,Bye Week,Bye Week,
2015,Week 9,Nov 8,W,33-27,at Dallas Cowboys (OT)
2015,Week 10,Nov 15,L,20-19,vs Miami Dolphins
2015,Week 11,Nov 22,L,45-17,vs Tampa Bay Buccaneers
2015,Week 12,Nov 26,L,45-14,at Detroit Lions
2015,Week 13,Dec 6,W,35-28,at New England Patriots
2015,Week 14,Dec 13,W,23-20,vs Buffalo Bills
2015,Week 15,Dec 20,L,40-17,vs Arizona Cardinals
2015,Week 16,Dec 26,L,38-24,vs Washington Redskins
2015,Week 17,Jan 3,W,35-30,at New York Giants
