year,0,2,3,4,5
2017,Week 1,Sep 10,W,30-17,at Washington Redskins
2017,Week 2,Sep 17,L,27-20,at Kansas City Chiefs
2017,Week 3,Sep 24,W,27-24,vs New York Giants
2017,Week 4,Oct 1,W,26-24,at Los Angeles Chargers
2017,Week 5,Oct 8,W,34-7,vs Arizona Cardinals
2017,Week 6,Oct 12,W,28-23,at Carolina Panthers
2017,Week 7,Oct 23,W,34-24,vs Washington Redskins
2017,Week 8,Oct 29,W,33-10,vs San Francisco 49ers
2017,Week 9,Nov 5,W,51-23,vs Denver Broncos
2017,Week 10,Bye Week,Bye Week,Bye Week,
2017,Week 11,Nov 19,W,37-9,at Dallas Cowboys
2017,Week 12,Nov 26,W,31-3,vs Chicago Bears
2017,Week 13,Dec 3,L,24-10,at Seattle Seahawks
2017,Week 14,Dec 10,W,43-35,at Los Angeles Rams
2017,Week 15,Dec 17,W,34-29,at New York Giants
2017,Week 16,Dec 25,W,19-10,vs Oakland Raiders
2017,Week 17,Dec 31,L,6-0,vs Dallas Cowboys
