year,0,2,3,4,5
2020,Week 1,Sep 13,L,27-17,at Washington Football Team
2020,Week 2,Sep 20,L,37-19,vs Los Angeles Rams
2020,Week 3,Sep 27,T,23-23,vs Cincinnati Bengals (OT)
2020,Week 4,Oct 4,W,25-20,at San Francisco 49ers
2020,Week 5,Oct 11,L,38-29,at Pittsburgh Steelers
2020,Week 6,Oct 18,L,30-28,vs Baltimore Ravens
2020,Week 7,Oct 25,W,22-21,vs New York Giants
2020,Week 8,Nov 1,W,23-9,vs Dallas Cowboys
2020,Week 9,Bye Week,Bye Week,Bye Week,
2020,Week 10,Nov 15,L,27-17,at New York Giants
2020,Week 11,Nov 22,L,22-17,at Cleveland Browns
2020,Week 12,Nov 30,L,23-17,vs Seattle Seahawks
2020,Week 13,Dec 6,L,30-16,at Green Bay Packers
2020,Week 14,Dec 13,W,24-21,vs New Orleans Saints
2020,Week 15,Dec 20,L,33-26,at Arizona Cardinals
2020,Week 16,Dec 27,L,37-17,at Dallas Cowboys
2020,Week 17,Jan 3,L,20-14,vs Washington Football Team
