year,0,2,3,4,5
2019,Week 1,Sep 8,W,32-27,vs Washington Redskins
2019,Week 2,Sep 15,L,24-20,at Atlanta Falcons
2019,Week 3,Sep 22,L,27-24,vs Detroit Lions
2019,Week 4,Sep 29,W,34-27,at Green Bay Packers
2019,Week 5,Oct 6,W,31-6,vs New York Jets
2019,Week 6,Oct 13,L,38-20,at Minnesota Vikings
2019,Week 7,Oct 20,L,37-10,at Dallas Cowboys
2019,Week 8,Oct 27,W,31-13,at Buffalo Bills
2019,Week 9,Nov 3,W,22-14,vs Chicago Bears
2019,Week 10,Bye Week,Bye Week,Bye Week,
2019,Week 11,Nov 17,L,17-10,vs New England Patriots
2019,Week 12,Nov 24,L,17-9,vs Seattle Seahawks
2019,Week 13,Dec 1,L,37-31,at Miami Dolphins
2019,Week 14,Dec 9,W,23-17,vs New York Giants (OT)
2019,Week 15,Dec 15,W,37-27,at Washington Redskins
2019,Week 16,Dec 22,W,17-9,vs Dallas Cowboys
2019,Week 17,Dec 29,W,34-17,at New York Giants
