year,0,2,3,4,5
2017,Divisional Playoffs,Jan 13,W,15-10,vs Atlanta Falcons
2017,Conference Championship,Jan 21,W,38-7,vs Minnesota Vikings
2017,Superbowl,Feb 4,W,41-33,"at New England Patriots at Minneapolis, MN"
